id,name,city,country,stars,price_per_night_eur,amenities,description,url,latitude,longitude,created_at
hotel_1,City Hotel 685,Zurich,Switzerland,3,580.13,"['Pet-friendly', 'Air conditioning', '24-hour front desk', 'Laundry service', 'Restaurant', 'Parking']","City Hotel 685 — уютный 3-звёздочный отель в центре Zurich, Switzerland. Подходит для туристов и деловых поездок. В отеле: Pet-friendly, Air conditioning, 24-hour front desk. Близко к основным достопримечательностям и транспорту. Цена от 580.13 EUR за ночь. Рейтинг гостей: 8.7/10.",https://example.com/hotels/1,47.429014,8.521248,2025-12-07T16:57:03.834277Z
hotel_2,Mountain Apartments 539,Vienna,Austria,3,226.19,"['Free WiFi', 'Pet-friendly', 'Spa', 'Breakfast included', 'Family rooms', 'Kitchenette', 'Laundry service', 'Pool']","Mountain Apartments 539 — уютный 3-звёздочный отель в центре Vienna, Austria. Подходит для туристов и деловых поездок. В отеле: Free WiFi, Pet-friendly, Spa. Близко к основным достопримечательностям и транспорту. Цена от 226.19 EUR за ночь. Рейтинг гостей: 7.8/10.",https://example.com/hotels/2,48.26386,16.34192,2025-12-07T16:57:03.834318Z
hotel_3,Sunny Residence 539,Dublin,Ireland,4,283.41,"['Free WiFi', 'Gym', 'Laundry service', 'Bar', '24-hour front desk', 'Air conditioning']","Sunny Residence 539 — уютный 4-звёздочный отель в центре Dublin, Ireland. Подходит для туристов и деловых поездок. В отеле: Free WiFi, Gym, Laundry service. Близко к основным достопримечательностям и транспорту. Цена от 283.41 EUR за ночь. Рейтинг гостей: 8.2/10.",https://example.com/hotels/3,53.371588,-6.207755,2025-12-07T16:57:03.834351Z
hotel_4,Park Hotel 787,Prague,Czech Republic,3,201.58,"['Non-smoking rooms', 'Gym', 'Air conditioning', 'Breakfast included', 'Bar', 'Family rooms', 'Airport shuttle']","Park Hotel 787 — уютный 3-звёздочный отель в центре Prague, Czech Republic. Подходит для туристов и деловых поездок. В отеле: Non-smoking rooms, Gym, Air conditioning. Близко к основным достопримечательностям и транспорту. Цена от 201.58 EUR за ночь. Рейтинг гостей: 9.6/10.",https://example.com/hotels/4,50.023373,14.44971,2025-12-07T16:57:03.834375Z
hotel_5,Central Palace 260,Vienna,Austria,4,103.74,"['Laundry service', 'Spa', 'Air conditioning']","Central Palace 260 — уютный 4-звёздочный отель в центре Vienna, Austria. Подходит для туристов и деловых поездок. В отеле: Laundry service, Spa, Air conditioning. Близко к основным достопримечательностям и транспорту. Цена от 103.74 EUR за ночь. Рейтинг гостей: 8.7/10.",https://example.com/hotels/5,48.174865,16.417539,2025-12-07T16:57:03.834393Z
hotel_6,Grand House 311,Istanbul,Turkey,3,57.25,"['Kitchenette', '24-hour front desk', 'Air conditioning', 'Pet-friendly', 'Breakfast included', 'Spa', 'Restaurant']","Grand House 311 — уютный 3-звёздочный отель в центре Istanbul, Turkey. Подходит для туристов и деловых поездок. В отеле: Kitchenette, 24-hour front desk, Air conditioning. Близко к основным достопримечательностям и транспорту. Цена от 57.25 EUR за ночь. Рейтинг гостей: 9.4/10.",https://example.com/hotels/6,41.037554,28.926455,2025-12-07T16:57:03.834411Z
hotel_7,Sunny Suites 473,Berlin,Germany,4,256.01,"['Pet-friendly', 'Parking', 'Family rooms', '24-hour front desk', 'Pool', 'Kitchenette', 'Bar']","Sunny Suites 473 — уютный 4-звёздочный отель в центре Berlin, Germany. Подходит для туристов и деловых поездок. В отеле: Pet-friendly, Parking, Family rooms. Близко к основным достопримечательностям и транспорту. Цена от 256.01 EUR за ночь. Рейтинг гостей: 7.4/10.",https://example.com/hotels/7,52.544604,13.368981,2025-12-07T16:57:03.834432Z
hotel_8,Central Palace 885,Stockholm,Sweden,3,69.24,"['Kitchenette', 'Airport shuttle', 'Pet-friendly', 'Free WiFi', 'Non-smoking rooms', 'Gym']","Central Palace 885 — уютный 3-звёздочный отель в центре Stockholm, Sweden. Подходит для туристов и деловых поездок. В отеле: Kitchenette, Airport shuttle, Pet-friendly. Близко к основным достопримечательностям и транспорту. Цена от 69.24 EUR за ночь. Рейтинг гостей: 7.2/10.",https://example.com/hotels/8,59.365375,18.030086,2025-12-07T16:57:03.834456Z
hotel_9,Historic Residence 862,Oslo,Norway,3,167.8,"['Air conditioning', '24-hour front desk', 'Non-smoking rooms', 'Family rooms']","Historic Residence 862 — уютный 3-звёздочный отель в центре Oslo, Norway. Подходит для туристов и деловых поездок. В отеле: Air conditioning, 24-hour front desk, Non-smoking rooms. Близко к основным достопримечательностям и транспорту. Цена от 167.8 EUR за ночь. Рейтинг гостей: 7.5/10.",https://example.com/hotels/9,59.863533,10.775586,2025-12-07T16:57:03.834473Z
hotel_10,Ocean Inn 683,Vienna,Austria,2,1000.83,"['Kitchenette', 'Breakfast included', 'Free WiFi', 'Gym', 'Restaurant']","Ocean Inn 683 — уютный 2-звёздочный отель в центре Vienna, Austria. Подходит для туристов и деловых поездок. В отеле: Kitchenette, Breakfast included, Free WiFi. Близко к основным достопримечательностям и транспорту. Цена от 1000.83 EUR за ночь. Рейтинг гостей: 9.1/10.",https://example.com/hotels/10,48.247014,16.427166,2025-12-07T16:57:03.834495Z
hotel_11,City Hotel 646,Istanbul,Turkey,4,382.06,"['Air conditioning', 'Gym', 'Non-smoking rooms', 'Family rooms', 'Kitchenette', 'Laundry service']","City Hotel 646 — уютный 4-звёздочный отель в центре Istanbul, Turkey. Подходит для туристов и деловых поездок. В отеле: Air conditioning, Gym, Non-smoking rooms. Близко к основным достопримечательностям и транспорту. Цена от 382.06 EUR за ночь. Рейтинг гостей: 8.0/10.",https://example.com/hotels/11,41.036033,28.963884,2025-12-07T16:57:03.834511Z
hotel_12,Grand House 283,Budapest,Hungary,3,711.87,"['Gym', 'Pet-friendly', 'Airport shuttle', 'Pool', 'Family rooms']","Grand House 283 — уютный 3-звёздочный отель в центре Budapest, Hungary. Подходит для туристов и деловых поездок. В отеле: Gym, Pet-friendly, Airport shuttle. Близко к основным достопримечательностям и транспорту. Цена от 711.87 EUR за ночь. Рейтинг гостей: 8.2/10.",https://example.com/hotels/12,47.509626,19.054774,2025-12-07T16:57:03.834525Z
hotel_13,Boutique Lodge 762,Oslo,Norway,3,667.79,"['Parking', 'Gym', 'Free WiFi', 'Kitchenette', 'Restaurant', 'Spa']","Boutique Lodge 762 — уютный 3-звёздочный отель в центре Oslo, Norway. Подходит для туристов и деловых поездок. В отеле: Parking, Gym, Free WiFi. Близко к основным достопримечательностям и транспорту. Цена от 667.79 EUR за ночь. Рейтинг гостей: 7.6/10.",https://example.com/hotels/13,59.886486,10.693375,2025-12-07T16:57:03.834539Z
hotel_14,Ocean Residence 865,Prague,Czech Republic,3,569.73,"['Non-smoking rooms', 'Kitchenette', 'Air conditioning', 'Restaurant', 'Laundry service', 'Family rooms', 'Spa', 'Breakfast included']","Ocean Residence 865 — уютный 3-звёздочный отель в центре Prague, Czech Republic. Подходит для туристов и деловых поездок. В отеле: Non-smoking rooms, Kitchenette, Air conditioning. Близко к основным достопримечательностям и транспорту. Цена от 569.73 EUR за ночь. Рейтинг гостей: 9.2/10.",https://example.com/hotels/14,50.093862,14.404415,2025-12-07T16:57:03.834554Z
hotel_15,Park Inn 112,Amsterdam,Netherlands,4,172.67,"['Airport shuttle', 'Kitchenette', 'Spa', 'Laundry service']","Park Inn 112 — уютный 4-звёздочный отель в центре Amsterdam, Netherlands. Подходит для туристов и деловых поездок. В отеле: Airport shuttle, Kitchenette, Spa. Близко к основным достопримечательностям и транспорту. Цена от 172.67 EUR за ночь. Рейтинг гостей: 9.5/10.",https://example.com/hotels/15,52.336954,4.862073,2025-12-07T16:57:03.834570Z
hotel_16,Park Inn 631,Krakow,Poland,4,485.02,"['Air conditioning', 'Spa', '24-hour front desk', 'Gym']","Park Inn 631 — уютный 4-звёздочный отель в центре Krakow, Poland. Подходит для туристов и деловых поездок. В отеле: Air conditioning, Spa, 24-hour front desk. Близко к основным достопримечательностям и транспорту. Цена от 485.02 EUR за ночь. Рейтинг гостей: 7.3/10.",https://example.com/hotels/16,50.12487,19.934667,2025-12-07T16:57:03.834584Z
hotel_17,Grand Lodge 380,Stockholm,Sweden,2,210.77,"['Bar', 'Breakfast included', 'Family rooms', 'Kitchenette', 'Spa', 'Restaurant', 'Laundry service']","Grand Lodge 380 — уютный 2-звёздочный отель в центре Stockholm, Sweden. Подходит для туристов и деловых поездок. В отеле: Bar, Breakfast included, Family rooms. Близко к основным достопримечательностям и транспорту. Цена от 210.77 EUR за ночь. Рейтинг гостей: 8.4/10.",https://example.com/hotels/17,59.291102,18.026806,2025-12-07T16:57:03.834598Z
hotel_18,Historic Lodge 988,Munich,Germany,4,494.74,"['24-hour front desk', 'Parking', 'Non-smoking rooms', 'Gym', 'Spa']","Historic Lodge 988 — уютный 4-звёздочный отель в центре Munich, Germany. Подходит для туристов и деловых поездок. В отеле: 24-hour front desk, Parking, Non-smoking rooms. Близко к основным достопримечательностям и транспорту. Цена от 494.74 EUR за ночь. Рейтинг гостей: 7.2/10.",https://example.com/hotels/18,48.08136,11.58025,2025-12-07T16:57:03.834620Z
hotel_19,Central Residence 500,Dublin,Ireland,3,270.26,"['Kitchenette', 'Spa', 'Breakfast included', 'Airport shuttle', '24-hour front desk', 'Free WiFi', 'Gym']","Central Residence 500 — уютный 3-звёздочный отель в центре Dublin, Ireland. Подходит для туристов и деловых поездок. В отеле: Kitchenette, Spa, Breakfast included. Близко к основным достопримечательностям и транспорту. Цена от 270.26 EUR за ночь. Рейтинг гостей: 7.2/10.",https://example.com/hotels/19,53.393722,-6.273027,2025-12-07T16:57:03.834645Z
hotel_20,Grand House 176,Helsinki,Finland,4,123.52,"['Spa', 'Gym', 'Laundry service', 'Bar', 'Parking', 'Pool']","Grand House 176 — уютный 4-звёздочный отель в центре Helsinki, Finland. Подходит для туристов и деловых поездок. В отеле: Spa, Gym, Laundry service. Близко к основным достопримечательностям и транспорту. Цена от 123.52 EUR за ночь. Рейтинг гостей: 7.7/10.",https://example.com/hotels/20,60.172051,24.953896,2025-12-07T16:57:03.834661Z
